종목명	리포트제목	적정가격	의견	증권사	날짜
해성디에스	 DDR5 용 Pkg. Substrate 성공 여부가 관건	36500	매수	iM증권	2025-03-05
쏘카	더 이상 모른척할 수 없는 자율주행 기회	25000	매수	SK증권	2025-03-05
에이럭스	드론 고성장을 어떻게 표현할 방법이 없네	23500	매수	SK증권	2025-03-05
보로노이	보여줄 것이 많은 25년	240000	매수	유안타증권	2025-03-05
에이피알	 글로벌 K-Beauty 선두주자로 도약	77000	매수	유안타증권	2025-03-05
코스맥스	 코스맥스가 화장품 섹터를 살렸다	220000	매수	유안타증권	2025-03-05
SK하이닉스	 당분간18~24만원의구간대에서움직일듯	200000	보유	iM증권	2025-03-05
삼성전자	주식수급과Valuation Merit는좋으나본원경쟁력회복은아직	68000	매수	iM증권	2025-03-05
원익QnC	견조한 Parts 수요 예상	-	-	한국IR협의회	2025-03-05
티앤엘	"지속적인 해외 매출 성장 기대	"	-	-	한국IR협의회	2025-03-05
와이지엔터테인먼트	예상보다 빠른 저연차의 수익화	74000	매수	메리츠증권	2025-03-01
세아제강	올해 전망 맑음	210000	매수	유진투자증권	2025-03-01
파마리서치	"레벨업이 기대되는 리쥬란	"	-	-	한국IR협의회	2025-03-01
하이브	변함없는 성장 모멘텀	310000	매수	메리츠증권	2025-02-27
한국콜마	4Q24 Re: 견조한 국내, 북미 사업 모멘텀 기대	-	-	메리츠증권	2025-02-27
한국항공우주	4Q24 NDR 후기	74000	매수	메리츠증권	2025-02-27
셀트리온	유럽과 미국에서 동반 성장 전망	240000	매수	대신증권	2025-02-27
하이브	4분기 공연과 MD의 유의미한 성장세 확인	310000	매수	대신증권	2025-02-27
한국콜마	25년 준비 완료	80000	매수	대신증권	2025-02-27
셀트리온	4Q24Re: 비용 증가로 컨센서스 하회	240000	매수	유안타증권	2025-02-27
시프트업	승리의 여신은 우리에게	90000	매수	유안타증권	2025-02-27
하이브	 4Q24 리뷰: 시장 컨센서스 대비 매출액 상회, 영업이익 하회	300000	매수	유안타증권	2025-02-27
LG이노텍	다시 볼 이유: 싸고, 실적 좋고, 촉매 있고	225000	매수	iM증권	2025-02-27
셀트리온	4Q24 Re: 올해를 보수적으로 봐도	250000	매수	iM증권	2025-02-27
슈프리마	[다시봐] 사상 최대 실적!	-	-	유안타증권	2025-02-27
원익IPS	4Q24 Review: 기대해도 좋아	39000	매수	유진투자증권	2025-02-27
컨텍	Contec을 Contact해 볼 시점	-	-	유안타증권	2025-02-27
한화	올랐지만 안올랐습니다	63000	매수	유안타증권	2025-02-27
헥토이노베이션	사상 최대 실적	-	-	유안타증권	2025-02-27
오리온	#25년 최대고비 1월 #성공적 #2월부터 기대해도 좋다	160000	매수	iM증권	2025-02-26
현대건설	현대엔지니어링, 세종안성 고속도로 붕괴 사고	42000	매수	iM증권	2025-02-26
SK스퀘어	주가 횡보구간엔 매수	125000	매수	SK증권	2025-02-26
셀트리온	4Q24 Re: 25년 도약을 위한 준비	230000	매수	SK증권	2025-02-26
씨어스테크놀로지	수익화 시점이 가장 빠른 AI헬스케어 업체	-	-	SK증권	2025-02-26
NHN	 관심도의 증가	24000	OutPerform	키움증권	2025-02-26
코스맥스	4Q24 Re: K-뷰티 글로벌 모멘텀을 그대로 흡수한 실적	-	매수	메리츠증권	2025-02-25
코스맥스	올해도 기대해보자	210000	매수	대신증권	2025-02-25
코스맥스	4Q24 Review: 더할 나위 없는	240000	매수	유진투자증권	2025-02-25
한글과컴퓨터	4Q24 Review: AI 사업 물꼬를 트다	33000	매수	유진투자증권	2025-02-25
LX세미콘	2025년 실적 성장성 제한적	81000	매수	iM증권	2025-02-25
토비스	쇼 앤 프루브 ing	28000	매수	SK증권	2025-02-25
유니드	염화칼륨 가격의 상승 모멘텀 지속	-	-	SK증권	2025-02-25
아이씨티케이	"PUF 기반 보안칩과 양자내성암호(PQC) 기술 선도	"	-	-	한국IR협의회	2025-02-25
디오	밸류에이션 매력 부각 및 주주환원 확대 가속화	-	-	iM증권	2025-02-24
삼화콘덴서	올해 전력 인프라 FC, 내년 전기차 DC-Link 성장성 가속화	40000	매수	iM증권	2025-02-24
한진	올해 택배 및 미주 역직구 수요 증가로 실적개선	27000	매수	iM증권	2025-02-24
대원제약	제약, 건기식, 화장품까지 아우르기 시작	18000	매수(유지)	키움증권	2025-02-24
한화손해보험	내실을 다지는 중	4800	OutPerform	키움증권	2025-02-24
DB손해보험	주주환원 계획 발표된다면 큰 폭의 주가 상승 기대	140000	매수(유지)	키움증권	2025-02-24
비아이매트릭스	AI 혁명의 진짜 수혜주	-	-	키움증권	2025-02-24
현대해상	아쉬운 대규모 CSM 조정	28000	매수(유지)	키움증권	2025-02-24
SCL사이언스	검진 사업 기반 새로운 기업으로 거듭나기	-	-	키움증권	2025-02-24
카카오	밸류에이션 회복 국면	59000	매수(유지)	키움증권	2025-02-24
아바텍	잠재력은 아직 충분	16000	매수	메리츠증권	2025-02-21
티엘비	기술 선점의 수확 시기 진입	25000	매수	메리츠증권	2025-02-21
에스티팜	올해는 실적 성장의 가시성 높음	120000	매수	iM증권	2025-02-21
SK이노베이션	2H25 기점으로 LNG 업체로서의 재평가 기대	170000	매수	iM증권	2025-02-21
SK가스	트럼프의 에너지 시대에서 LPG/LNG를 모두 유연하게 다룰 수 있다면?	300000	매수	교보증권	2025-02-21
금호석유	고래싸움에 이어 트럼프의 에너지 시대까지 수혜	170000	매수	iM증권	2025-02-21
롯데케미칼	트럼프의 에너지 시대에 기대보는 유가 하락 효과	100000	매수	iM증권	2025-02-21
메리츠금융지주	향후 이익체력에 대한 뚜렷한 기대감	145000	매수	SK증권	2025-02-21
디어유	중국 진출 임박, 기대감 가져보기 좋은 시점	-	-	SK증권	2025-02-21
SAMG엔터	롱런 캐릭터로 진화	-	매수	SK증권	2025-02-21
노머스	해외투어가는신생엔터테크	-	매수	SK증권	2025-02-21
한화생명	 전반적으로 무난한 실적과 자본 시현	3500	매수	SK증권	2025-02-21
삼성생명	과도한 기대감보다 펀더멘털 중심 접근 필요	114000	매수	SK증권	2025-02-21
롯데쇼핑	NDR 후기: LOTTE 개선 포인트 ON	85000	매수	유진투자증권	2025-02-21
파인엠텍	2025년 회복 → 2026년 도약 기대	8000	매수	메리츠증권	2025-02-21
현대제철	 긍정적 이벤트 발생	35000	매수	유안타증권	2025-02-21
와이씨	박상준	-	-	한국IR협의회	2025-02-21
메리츠금융지주	미래를 원한다면, 증명하세요	150000	매수(유지)	키움증권	2025-02-21
삼성생명	 실적 변동성은 아쉽지만 여전히 유효한 투자포인트	140000	매수(유지)	키움증권	2025-02-21
한화생명	실적은 양호했으나 여전한 부담 요인들	3200	매수(유지)	키움증권	2025-02-21
솔루엠	하향된 눈높이 기준 12MF PER 9배	26000	매수	iM증권	2025-02-19
온코크로스	한국의 Recursion Pharmaceutical	-	-	SK증권	2025-02-19
LIG넥스원	다소 느려도 확실한 방향성	380000	매수(유지)	키움증권	2025-02-19
LS마린솔루션	재평가 시점: 에너지3법과 인공지능	25000	매수	SK증권	2025-02-18
신한지주	더욱 높아진 가격 측면의 매력	73000	매수	SK증권	2025-02-18
두산에너빌리티	4Q24 Review: 매력적인 IF 가 너무 많다	30000	매수	메리츠증권	2025-02-18
루미르	추진력을 얻기 위한 2025 년	14500	매수	메리츠증권	2025-02-18
비에이치	깊어지는 고민	-	매수	메리츠증권	2025-02-18
샘씨엔에스	디램향 매출 증가는 현재진행형	-	매수	메리츠증권	2025-02-18
씨에스윈드	4Q24 Review: 저점 도달	64000	매수	메리츠증권	2025-02-18
JB금융지주	배당가능이익은 걱정하지 마세요	25000	매수(유지)	키움증권	2025-02-18
테스	NAND 공정 업그레이드 투자 수혜	29000	매수(유지)	키움증권	2025-02-18
센코	"K-가스센서의 도약. 중국에서의 새로운 기회	"	-	-	한국IR협의회	2025-02-18
제노코	"정부 우주개발 수혜, KAI의 인수로 성장세 가속화	"	-	-	한국IR협의회	2025-02-18
LIG넥스원	Slow and Steady 	330000	매수	메리츠증권	2025-02-17
SK이터닉스	태양광도 구조화가 되나요?	-	-	메리츠증권	2025-02-17
씨앤씨인터내셔널	4Q24 Re: 녹록치 않은 2025 년, 신규 고객사 확보 역량 관건	-	-	메리츠증권	2025-02-17
씨앤씨인터내셔널	최악을 지나가는 중	43000	매수	대신증권	2025-02-17
에이럭스	트럼프 2.0 시대 미국향 드론 수출 증가할 듯	-	-	iM증권	2025-02-17
SK네트웍스	AI전환(AX) 수요 확대 시대 수혜 가능할 듯	6500	매수	iM증권	2025-02-17
롯데렌탈	2025년 롯데렌탈에 기대할 수 있는 3가지	49000	매수	SK증권	2025-02-17
코리안리	여전히 무난한 업황과 개선된 경상 이익체력	10000	매수	SK증권	2025-02-17
더블유게임즈	더블유게임즈 4Q24 Review: 부지런히 성장 중	-	-	SK증권	2025-02-17
화승엔터프라이즈	예상보다 강력했다	15000	매수	SK증권	2025-02-17
삼성증권	향후 더욱 높아질 주주환원 측면의 매력 	62000	매수	SK증권	2025-02-17
심텍	턴어라운드 기대 요인에 주목	23000	매수(유지)	키움증권	2025-02-17
삼성증권	견조한 펀더멘털에 단기 모멘텀도 기대	60000	매수(유지)	키움증권	2025-02-17
